City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,ellensburg,46.9965,-120.5479,276.95,68,0,7.72,US,1677462648
155,kargil,34.5667,76.1,259.79,95,100,0.86,IN,1677462679
156,cayenne,4.9333,-52.3333,297.17,100,100,2.57,GF,1677462680
157,cacoal,-11.4386,-61.4472,296.39,93,42,1.3,BR,1677462680
158,razdolinsk,58.4211,94.6658,260.4,95,100,2.44,RU,1677462680
159,dikson,73.5069,80.5464,246.77,95,55,9.16,RU,1677462681
160,nome,64.5011,-165.4064,253.24,77,0,0.0,US,1677462681
161,grand gaube,-20.0064,57.6608,297.25,80,14,1.34,MU,1677462682
162,pisco,-13.7,-76.2167,296.18,78,20,1.54,PE,1677462682
163,lagoa,39.05,-27.9833,286.6,54,52,14.04,PT,1677462682
164,severo-kurilsk,50.6789,156.125,267.49,72,96,6.61,RU,1677462683
165,khatanga,71.9667,102.5,253.43,84,100,8.68,RU,1677462683
166,nha trang,12.25,109.1833,297.15,90,100,4.59,VN,1677462539
167,talnakh,69.4865,88.3972,248.08,97,97,3.6,RU,1677462683
168,acurenam,1.0322,10.6488,291.72,98,87,0.83,GQ,1677462684
169,belaya gora,68.5333,146.4167,250.06,94,100,3.61,RU,1677462684
170,atasu,48.6814,71.6433,255.73,85,69,1.95,KZ,1677462684
171,floro,61.5996,5.0328,277.57,100,100,3.09,NO,1677462685
172,ahipara,-35.1667,173.1667,294.58,73,7,3.4,NZ,1677462685
173,port lincoln,-34.7333,135.8667,292.97,58,100,5.4,AU,1677462685
174,eydhafushi,5.1033,73.0708,300.37,64,27,8.47,MV,1677462686
175,olafsvik,64.8945,-23.7142,279.04,89,87,8.98,IS,1677462686
176,beian,63.6559,9.5683,279.27,100,100,8.23,NO,1677462686
177,mendi,-6.1761,143.6513,288.67,91,100,0.44,PG,1677462687
178,wasilla,61.5814,-149.4394,266.14,71,0,1.54,US,1677462529
179,qandala,11.472,49.8728,296.73,61,48,5.11,SO,1677462687
180,qasigiannguit,68.8193,-51.1922,257.29,85,96,1.29,GL,1677462687
181,nelson bay,-32.7167,152.15,300.42,74,70,3.58,AU,1677462688
182,naze,28.3667,129.4833,289.66,51,76,7.28,JP,1677462688
183,carauari,-4.8828,-66.8958,296.76,97,100,0.71,BR,1677462620
184,teya,60.3778,92.6267,259.95,96,100,1.86,RU,1677462688
185,praia,14.9215,-23.5087,293.45,68,75,7.2,CV,1677462689
186,saint-georges,12.0564,-61.7485,296.97,83,20,2.57,GD,1677462684
187,gat,31.61,34.7642,288.37,100,2,1.12,IL,1677462601
188,mount gambier,-37.8333,140.7667,291.17,62,95,3.95,AU,1677462689
189,ginir,7.1333,40.7,288.97,69,84,1.49,ET,1677462690
190,panzhihua,26.5851,101.7128,286.98,67,94,0.36,CN,1677462690
191,kruisfontein,-34.0033,24.7314,291.42,93,0,1.55,ZA,1677462690
192,miandrivazo,-19.5167,45.4667,297.47,89,61,0.65,MG,1677462691
193,chuy,-33.6971,-53.4616,291.15,63,1,3.9,UY,1677462691
194,itoman,26.1247,127.6694,291.16,64,75,8.75,JP,1677462691
195,ampanihy,-24.7,44.75,296.26,85,79,2.35,MG,1677462692
196,tunceli,39.1083,39.5471,274.33,83,8,2.29,TR,1677462692
197,ponta do sol,32.6667,-17.1,291.32,75,100,2.19,PT,1677462692
198,port keats,-14.25,129.55,301.83,77,58,10.16,AU,1677462693
199,asau,46.4333,26.4,273.86,98,100,1.73,RO,1677462693
200,nantucket,41.2835,-70.0995,276.23,79,100,4.63,US,1677462556
201,pangnirtung,66.1451,-65.7125,237.13,85,13,3.41,CA,1677462693
202,ranau,5.9538,116.6641,298.58,76,89,1.57,MY,1677462694
203,pemangkat,1.1667,108.9667,297.81,91,100,5.64,ID,1677462694
204,magione,43.1439,12.2069,278.82,89,100,2.81,IT,1677462694
205,mount isa,-20.7333,139.5,301.02,57,40,5.66,AU,1677462695
206,hilo,19.7297,-155.09,297.18,74,75,5.14,US,1677462695
207,east london,-33.0153,27.9116,292.49,86,38,3.33,ZA,1677462695
208,magadan,59.5667,150.8,257.89,86,100,2.09,RU,1677462696
209,illapel,-31.6308,-71.1653,296.09,49,0,0.72,CL,1677462667
210,ornskoldsvik,63.2909,18.7153,275.68,93,75,5.14,SE,1677462696
211,palembang,-2.9167,104.7458,299.2,89,20,6.17,ID,1677462697
212,san patricio,28.017,-97.5169,296.23,82,0,7.86,US,1677462697
213,portland,45.5234,-122.6762,277.38,92,100,3.6,US,1677462467
214,dutse,11.7594,9.3392,295.44,14,100,2.47,NG,1677462697
215,khartoum,15.5518,32.5324,298.16,19,1,6.6,SD,1677462675
216,bhadrak,21.0633,86.5054,296.47,73,0,1.86,IN,1677462698
217,morant bay,17.8815,-76.4093,299.94,70,0,3.89,JM,1677462698
218,sonoita,31.85,-112.8333,285.34,35,0,0.93,MX,1677462698
219,matagami,49.7502,-77.6328,258.21,78,0,6.17,CA,1677462699
220,victor harbor,-35.5667,138.6167,293.71,71,53,4.83,AU,1677462699
221,hami,42.8,93.45,274.13,27,14,4.81,CN,1677462699
222,leeton,-34.5667,146.4,301.42,26,0,4.13,AU,1677462700
